case_index,delta_mm,original_thickness_mm,actual_thickness_mm,status,model_path,lde_csv_path,mtf_txt_path,spot_txt_path,error_message
1,-1.0,0.999974567,-2.5433000000019135e-05,failed,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\models\case_001_delta_m1p00.zmx,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\lde_csv\case_001_delta_m1p00_lde.csv,,,'NoneType' object has no attribute 'ApplyAndWaitForCompletion'
2,-0.8,0.999974567,0.19997456699999994,success,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\models\case_002_delta_m0p80.zmx,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\lde_csv\case_002_delta_m0p80_lde.csv,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_002_delta_m0p80_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_002_delta_m0p80_standard_spot.txt,
3,-0.6,0.999974567,0.399974567,success,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\models\case_003_delta_m0p60.zmx,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\lde_csv\case_003_delta_m0p60_lde.csv,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_003_delta_m0p60_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_003_delta_m0p60_standard_spot.txt,
4,-0.4,0.999974567,0.599974567,success,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\models\case_004_delta_m0p40.zmx,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\lde_csv\case_004_delta_m0p40_lde.csv,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_004_delta_m0p40_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_004_delta_m0p40_standard_spot.txt,
5,-0.2,0.999974567,0.799974567,success,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\models\case_005_delta_m0p20.zmx,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\lde_csv\case_005_delta_m0p20_lde.csv,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_005_delta_m0p20_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_005_delta_m0p20_standard_spot.txt,
6,-0.0,0.999974567,0.999974567,failed,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\models\case_006_delta_p0p00.zmx,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\lde_csv\case_006_delta_p0p00_lde.csv,,,'NoneType' object has no attribute 'ApplyAndWaitForCompletion'
7,0.2,0.999974567,1.199974567,success,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\models\case_007_delta_p0p20.zmx,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\lde_csv\case_007_delta_p0p20_lde.csv,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_007_delta_p0p20_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_007_delta_p0p20_standard_spot.txt,
8,0.4,0.999974567,1.3999745670000001,success,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\models\case_008_delta_p0p40.zmx,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\lde_csv\case_008_delta_p0p40_lde.csv,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_008_delta_p0p40_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_008_delta_p0p40_standard_spot.txt,
9,0.6,0.999974567,1.5999745669999998,success,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\models\case_009_delta_p0p60.zmx,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\lde_csv\case_009_delta_p0p60_lde.csv,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_009_delta_p0p60_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_009_delta_p0p60_standard_spot.txt,
10,0.8,0.999974567,1.799974567,success,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\models\case_010_delta_p0p80.zmx,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\lde_csv\case_010_delta_p0p80_lde.csv,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_010_delta_p0p80_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_010_delta_p0p80_standard_spot.txt,
11,1.0,0.999974567,1.999974567,success,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\models\case_011_delta_p1p00.zmx,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\lde_csv\case_011_delta_p1p00_lde.csv,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_011_delta_p1p00_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_011_delta_p1p00_standard_spot.txt,
