case_index,delta_mm,actual_thickness_mm,d16_status,metric_status,metric_error,mtf_30_nearest_freq,mtf_30_avg,mtf_30_min,mtf_30_max,mtf_30_n_curves,mtf_40_nearest_freq,mtf_40_avg,mtf_40_min,mtf_40_max,mtf_40_n_curves,mtf_50_nearest_freq,mtf_50_avg,mtf_50_min,mtf_50_max,mtf_50_n_curves,mtf_rows_found,mtf_txt_path,spot_txt_path
1,-1.0,-2.5433000000019135e-05,failed,failed,D16 case status is not success: failed,,,,,,,,,,,,,,,,,,
2,-0.8,0.19997456699999994,success,success,,30.0,0.236478,0.236478,0.236478,2,40.0,0.057567,0.057567,0.057567,2,50.0,0.092766,0.092766,0.092766,2,255,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_002_delta_m0p80_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_002_delta_m0p80_standard_spot.txt
3,-0.6,0.399974567,success,success,,30.0,0.112174,0.112174,0.112174,2,40.0,0.195792,0.195792,0.195792,2,50.0,0.044875,0.044875,0.044875,2,255,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_003_delta_m0p60_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_003_delta_m0p60_standard_spot.txt
4,-0.4,0.599974567,success,success,,30.0,0.07829,0.07829,0.07829,2,40.0,0.127284,0.127284,0.127284,2,50.0,0.17676,0.17676,0.17676,2,255,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_004_delta_m0p40_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_004_delta_m0p40_standard_spot.txt
5,-0.2,0.799974567,success,success,,30.0,0.424941,0.424941,0.424941,2,40.0,0.181809,0.181809,0.181809,2,50.0,0.031166,0.031166,0.031166,2,255,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_005_delta_m0p20_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_005_delta_m0p20_standard_spot.txt
6,-0.0,0.999974567,failed,failed,D16 case status is not success: failed,,,,,,,,,,,,,,,,,,
7,0.2,1.199974567,success,success,,30.0,0.794333,0.794333,0.794333,2,40.0,0.710434,0.710434,0.710434,2,50.0,0.6288,0.6288,0.6288,2,255,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_007_delta_p0p20_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_007_delta_p0p20_standard_spot.txt
8,0.4,1.3999745670000001,success,success,,30.0,0.706766,0.706766,0.706766,2,40.0,0.612789,0.612789,0.612789,2,50.0,0.537541,0.537541,0.537541,2,255,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_008_delta_p0p40_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_008_delta_p0p40_standard_spot.txt
9,0.6,1.5999745669999998,success,success,,30.0,0.498878,0.498878,0.498878,2,40.0,0.378109,0.378109,0.378109,2,50.0,0.30552,0.30552,0.30552,2,255,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_009_delta_p0p60_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_009_delta_p0p60_standard_spot.txt
10,0.8,1.799974567,success,success,,30.0,0.278991,0.278991,0.278991,2,40.0,0.186142,0.186142,0.186142,2,50.0,0.157228,0.157228,0.157228,2,255,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_010_delta_p0p80_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_010_delta_p0p80_standard_spot.txt
11,1.0,1.999974567,success,success,,30.0,0.12931,0.12931,0.12931,2,40.0,0.105837,0.105837,0.105837,2,50.0,0.105601,0.105601,0.105601,2,255,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\mtf_txt\case_011_delta_p1p00_fft_mtf.txt,C:\Users\20181\Desktop\Zemax\02_zosapi_python\results\D16_thickness_sweep\spot_txt\case_011_delta_p1p00_standard_spot.txt
